text,class,file_id
okay so um yes we do keep uh well we started out keeping a budget about two years ago we have a computer here at the house and i made a Lotus spreadsheet and went through the year using all of our our checkbook to figure out what we spent each time and whether we were over or under for each month and then basically since then what ive done is is keep track of it through the checkbook so that based on whatever weve got coming in check coming in and how much im spending each half of the month and then trying to also spend and because our house payment is once a month thats our our biggest uh expense so i take half of that amount out of my checkbook each with each paycheck even though its really still there so that i can keep a a good balance running total yeah through the month what do yall do a running total uh weve weve uh taken how much we have you know write down how much we have coming in each month and then uh weve at the beginning of the year we sat down and determined how much we could spend we sat down made up different accounts like you know weve set a budget for each you know household expenses or food and clothing and entertainment and then our our own fun money and just stuff like that and then we write down each each time we spend something we write down in a book and end of the month we tally it up to see if how close weve you know we we try to stay within a certain budget so umhum is it is it hard to keep track of it or does it work out pretty well um it takes some it takes some dedication to do it but it it works out real well so umhum and and youre staying within your budget and keep everything is working pretty good yeah yeah i stay within i have to stay within it so i yeah i found you know and then we have that you know if you cant stay if something comes up and you cant stay within it then we have uh you know a budget for you know like we call our slush fund or something and something unexpected unexpected comes up then youre not you know you dont feel it so strapped you dont have to go out and borrow it somewhere and and do that right yeah because we dont you know we dont charge anything that we cant pay off by the end of the month thats a good choice weve been trying were trying to uh do that this year weve budgeted the money that we used to spend we were spending on a CODA account with TI and then money we were also buying stock with for that year weve taken that this year and said were gonna pay off all of our credit cards and uh uhhuh baside you got paper under your table easide we have a another loan with the bank and so we hope by the end of this year that by doing that well be free and clear to be out of debt yeah the only thing we have it to pay off is our is a automobile loan and our house payment and thats the only thing we ever we try to stay out of debt so thats good to be in that kind of shape what are yall trying to do long term uhhuh oh as long term  we just he has you know his retirement plan and then to CODA and stuff like that thats all weve and you know we just have our life insurance for right now so  we dont have any long term you know in stocks or anything like that right now so yeah mostly what were doing weve worked  weve done the uh CODA account with TI where they we put in so much a month and then they or so much a paycheck and then they  match it yeah thats what were doing  so  and so that that has worked out pretty good and then i used to work for TI and i have when i retired from there or left i took the money that i had in mine and put it in an IRA and we had an out we had an existing IRA so we have both of us have some money in an IRA that were also trying to figure to put it were putting it in CDs right now and then were also looking at it in possibly getting a  mutual fund yeah whenever we get enough saved we we stick it in a CD for a while and then uh  umhum you know  and then when we if we need it we wait till it its expired and then so yeah  the other thing that weve done that that was really nice to see we had one of the financial companies um  Hancock oh  John Hancock company came out and their agents did a long term analysis based on salary  and uh what we were planning what what what our uh goals were on a long  term budget in terms of retirement kids college paying off the house buying a different house um special thing buying land and building our own house and they did an analysis for us based on what we were putting in and the time frame that we wanted to look at and then gave us a good idea back you know some good information back on whether or not we were going to achieve those goals and yeah or not or what we needed to do so that we could achieve them and money we could put in at what time or not yeah uhhuh that sounds interesting weve never done anything we have you know just our our life insurance guy has come out you know and hes set up uh  you know determined how much we need to you know we need if something were to happen yeah that you know thats the other financial thing i guess that weve done is with our life insurance is since im at home now is is figuring out uh what we would need if something happened to my husband or what he would need if something happened to me right yeah you you know if i would sell the you know if he something would happen to him i wouldnt stay in Texas i would uh thats a a big thing to think about sell the house and move back home you know to my home town and and uh i wouldnt stay here in Texas so you know i dont know what he would do  but i guess thats most of my um financial plans right now is is there anything youd like to add yeah mine too nope thats about all for mine okay well its been nice talking to you nice talking to you too byebye ,family_finance,2022
all right uh weve got a lot of them laughter too many of them oh yes laughter and i believe we all do and and its just too easy to use yeah well my husbands real good at using them laughter oh i believe that uh mine would say the same uh but uh i seem too rely on them too much i dont have any of them i dont carry them he carries them i try to take them away from him um it uh vocalizednoise you know i seem to uh use those more than i do cash in fact id rather carry the cards than i would the uh cash yeah well we got in a spot of trouble with uh using uh the credit cards on gas uh yes and uh thats got us in trouble yes thats uh real easy to do i have to watch it laughter yeah in fact yeah uh laughterwe i can understand that predicament they theyve um you know theyve theyve made them too easy to and too accessible at everything to to buy the ATM machines oh yes those things there thats what gets us and then plus then you for end up forgetting to write it down well no he doesnt have that trouble he uh has this little slip that comes out with the uh ATM machine and he just keeps that he keeps fairly decent records oh uhhuh oh thats good but uh he knows when hes overspends and when he doesnt and he knows that anytime he pops out that credit card laughter you know ive used the credit card a couple times to pay bills oh yeah yes uh and then then that gets into a vicious circle as far as you know paying off the the the loan that you just got from the credit card to pay off the other loan yeah thats what hes talking about doing now oh no um yeah the ATMs theyre but theyre nice though to have in case you need to get some quick cash and everything is closed yeah well yeah i like them i i have to admit i do like my credit cards uh i love it when he decides to go in a store and buy something for me laughter oh thats the best way laughterits laughterused laughter laughterthats laughterthe laughterbest laughterway laughteryes now i think that sort of evens it out as far as uh letting them carry it so as long as they do buy us something i dont know i like that he walks in you know and hes got this little gift and howd you pay for it credit laughter laughterhe laughteryou laughterknow said whipped out my little card and see theres no secrecy to that because the bill always comes in and we know how much they pay for it yeah id never thought about that way i dont really look laughter i guess i ought to sometimes oh i have to open it you know they mine always charges the flowers so i can always end up saying oh you spent too much you know and so yeah well i think the best thing he bought for me off of them is a Nintendo those are fun you get started on them and cant quit like credit cards laughter oh no never thought of it that way either hes you know hes addicted to it at times laughter just exactly oh its its real easy to get addicted to them you know you get out on a shopping spree frenzy and uh just charge it all and then you dont have to write a check or anything and see the thing is you know he go out and hell spend it when he wants you know and uh uh im afraid to im afraid to use that credit card yeah is there is a a fear to it as far as what happens if yeah you know uh is he going to yell at me for buying this with this you know and hes not a yeller though but he calmly you know you shouldnt have spent it all on that yeah they he likes to buy the kids toys  with the uh credit card too you you know hell go to by WalMart or something and oh yeah thats it oh yeah theres thats a weakness there thats just you know you you always want to get your kids everything and uh you dont care how much it costs or what it takes yeah well uh i dont know the uh uh the my WalMart thats where all of our bills are for the credit card yeah thats uh i always end up going into WalMart and vocalizednoise coming out with everything that uh i didnt have on the list were just getting more than what we went in for laughter laughterbut we went in for uh uh something for the car one day the last week and he went we went and bought a potty chair uh uh one of those Ninja Turtles for my son uh you know the potty chair for my daughter and he bought the a pair of shoes for me and uh lets see what else did he bought a couple pairs of shoes for the kids you know i got two kids and he bought them shoes with it and uh oh yeah its dangerous laughter laughteryou laughterknow we went in for a ten dollar piece of thing for the car and ended up sixty seventy dollars for uh at WalMart and then we went to Payless and bought the shoes for the kids laughter umhum oh yeah its just too easy to do you go in for just one thing were were infamous about that and so yeah ill second that oh well yeah i well im im glad we have credit cards thats uh because in sometimes when theres an emergency it it comes in handy its nice to have i know we had the car break down one time and the uh credit card saved us weve yeah weve had uh vocalizednoise a sick animal and uh the vet you know the dog and vets are so expensive that uh we uh the credit card helped us a lot there too so we wouldnt do without them i dont think wed live huhuh no no i think its become too much of an everyday life here theyre part of it yeah well ive been asking my husband for the credit cards ive got all of them but one i just hide them from him and when i feel that its necessary to pull it out ill pull it out but he keeps one of them he keeps the one with the least amount of the uh uh what you call it yeah no the uh the balance credit line you know uh the credit limit i let him have the one with the least amount oh yes uhhuh so you know he cant spend too much yeah you know uh i dont really exactly remember how much it is i think its about five hundred limit uh you know its just uh just one for him to fiddle with yes umhum i have to think of something else im im blank i was i was just uh oh well lets see i guess weve talked what almost five minutes well six minutes ive got a timer on my uh clock on my phone oh i wish i had one of those well we bought this with credit too laughter well we found it with a clearance uh down in Memphis i guess and uh oh laughtersee laughterthere laughteryou laughtergo popped that credit card out it was a Sears laughter oh your up in Memphis no i used to be im in Texas oh your in Texas oh okay i was i was going to go goodness they really got uh this out far well i i dont know i dont know how far it goes yeah yeah im down in Houston are you in Texas oh im in uh down here in Sherman or Denison rather oh okay yeah umhum well oh this is uh this is great this was the first one i had first phone call this is my first one too my husband did one last night and he just loved it hes been getting he got a real good topic so well uh you know we got to get back to credit cards laughter yeah well i was just trying to think uh i think weve pretty much said it all it vocalizednoise um but so uh but yeah uh i think we couldnt make it without them i know i couldnt uh we went and we maxed out quite a few of them before uh i started taking the uh cards away we maxed out a lot of well we had about six or seven and we maxed them out and uh thats got us in a little bit of trouble now thats why we and we was using one of them to pay off the bills on the others and that got that in trouble there yeah yeah but uh we uh we try to keep a uh tight controls over uh over them but it it gets hard like especially around Christmas time and birthdays uh uh my hubby does not have uh too much control when it comes to using that card uh laughter i know uh uh for quite a while we was using them to uh uh i think even one time we used it to pay our rent oh goodness you know it uh when we first moved here we just had a little bit of trouble and we got in to too expensive of a house or apartment rather and uh you know he was only down here for one day and we just everything just piled up wrecked the car and you know in order to do that we had to you know we was  paying the rent plus trying plus trying to get the money for another car another car and it gets rough it got it got real rough thats hard he just popped out that uh Master Card and get that cash advance uhhuh yeah we got a big cash advance and really thats whats uh holding us back now thats yeah it uh it but see it does come in handy those they do theyre worth it oh well i i think weve pretty much come to an end here yeah im trying to find out how long were supposed talk i think it was at least five minutes wasnt it thats what im looking for now thats why i was just trying talk without having to think about what i was saying and uh trying to look over this thing ,credit_card,2023
 hello hey how you doing not bad not bad Whats your name Fernando my name is Nick wait let me turn off my stereo here because ive been like waiting like for about ten minutes to get connected to somebody yeah man am i right what time is it over there are you are you in Dallas no no im in Detroit or not Detroit im in uh California are you yeah i because every time i got through i went to Dallas Texas yeah im in North Carolina oh well youre on the uh lets see on the other coast laughter yeah twenty one yeah shoot man its what midnight almost what yeah yeah its uh im watching Saturday Night Live here laughteryeah okay all right well i guess were supposed to talk what about credit card what wait what what did how how did you get to know about the TI thing oh one of my instructors uh said that they were doing something like this and what what are you working on a a Masters in uh information systems really im doing my Masters in in Computer Science and Computer Engineering yeah where at at North Carolina State University hey how do you like it out there uh i dont because uh i come from a lot a bigger city than this one and i im in Raleigh and vocalizednoise Raleigh Durham yeah yeah that area and its really small all all you have is like towns built around universities like Chapel Hill yeah so it its basically a bunch of small towns anyway kind of quaint little towns but they dont have a whole lot there where are you at uh well im in Monterey California right now oh okay so so i mean its like this this town probably has like two hundred and fifty thousand people and thats about it two hundred fifty okay it its its a lot bigger than Monterey is but were just uh just south of uh San Jose and San Francisco oh okay and its only a couple of hours away or a hour away to a you know to a large city so so where do you go do you go to Berkeley no no i go to the its the Naval Postgraduate school out here oh okay because um i was looking at at the doctorate degree in Computer Science center at Berkeley and theyre asking like for a um vocalizednoise GPA of like three point seven or something like that and like theyre looking like for uh GRE like ninety nine percentile and this and that and its like well thats what they look for whether or not they get it its hard to say  yeah i know thats why thats why i didnt apply i mean it was like for me it was like practically impossible to get between like ninety and ninety nine percentile on the on the verbal part yeah its pretty tough its pretty tough i mean uh lets face it you know and you know are you vocalizednoise did the you know as far as i found it a lot of times with regards to education you know the school only takes you so far you know its what you do you know so uh i dont lose any sleep sleep over stuff like that so are are you going to go for your doctorate probably not see im in the Navy and uh you know unless the Navy funds it i probably wont do it until i if i do do it it will be after i get out of the Navy when do you get out oh probably be another twelve years oh okay laughter oh you know i like what im doing right now but uh but what if they pay for it  what if they pay for excuse me if they pay for a PhD nah they wont pay for it theyve i think they have maybe two people a year go vocalizednoise get their PhD because i know i know a couple of people here that work for um the Army um yeah they civilians or uh military i think i think theyre military but i mean the guy is still in and um he uh he works over in Maryland and so hes doing his Masters here they gave him like a scholarship like for a year and hes doing it in like in a year and a summer and so hes getting that and uh they said like they got a lot of benefits and that thats why you want to join but uh this guy i mean you can earn a lot more money so you say i go why you still there if you can earn a lot more money once youve get your your you know Masters they go well they got a lot of benefits that would go with it so well a lot of times its you know a lot of times its not the money that keeps people that keeps people you know they they like what theyre doing they you know they feel good about what theyre doing that type of thing its more but i mean i mean you the once you get your Masters you can be earning between anywhere between like thirty seven forty five thousand a year     oh easily im sure and thats not what theyre paying no well it depends on what rank you are of course yeah yeah laughteri laughterknow well i mean like i say if youre if youre you know if youre at an upper level in the rank category you know youre probably pulling down close to seventy grand a year but thats uh yeah those are few and far between though its uh its like uh in IBM in IBM you can get certain points and uh everyones a manager but nobody can get one more point to become you know like whatever you need to earn so much money yeah i imagine its really competitive you know its like no i i mean IBM is like theres a joke about IBM which says you know its like uh all all the major companies get into a a boating race right and so IBM says well we have to we have to have a team right and then they come in last and they have this whole team you know analyze why they came in last right because the person asked for it saying he goes uh the problem was that there were five people saying row row row and one person rowing right so he goes have you come up with a solution uh have you come up with a solution they go yeah change the rower laughter you know its like everyones a manager but you know its like only use like one person does the work so too many chiefs and not enough Indians yeah so yeah oh that can be that that can really slow you down yeah that well thats the way it works i mean thats thats why theyre having problems i mean everyones a manager and i didnt realize that yeah i mean its like its like the people that actually do the work there are uh very few and then the other people just plan it you know its like its like have you have have you ever seen the commercial like for Federal Express where the with uh the think tank yeah push paper around you know like all these people are just standing sitting sitting sitting around just going you know like what shall we do has anybody thought of anything no And then this guy from Federal Federal Express comes along they go whats that this track which its going around the world and they can tell you where your package is anywhere any time and so its like the same thing with IBM you know so they have this think tank and they got to come up with ideas but see uh the the thing is that IBM is so stabilized that everybody will buy their stuff oh yeah theyve got a theyve got basically a uh you know a lock on a lot of the market and a lot of times you figure you know with the support that they provide you know people generally go with that because they figure that the you you you probably wont get fired for getting IBM material wheres if you try something different and it fails and youre dead theyll theyll say yeah why didnt you buy why didnt you try something more mainline yeah well IBM doesnt fire anybody because uh what they do is they they put you in a different job which you you actually are like sitting around not doing anything so you quit i mean thats their policy they never fire anybody unless youre caught doing something illegally illegal illegal or something like that yeah yeah like if youre stealing something or doing anything like that but they wont let you off what theyll do is like suppose you know like youre a manager so theyll put you into keeping up the paper you know its like how much paper is going in and then you say thats not my job so you quit so in other words thats the way they force people out  thats why they can say you know theres no layoff policy but it doesnt they dont really say that you know youre youre always going to have great career conditions yeah hey thats kind of sad no but i mean its like its like they they have like this different policy i dont know my dad works for them but its like IBM like never in their commercials they never put down any other company you know its like they wont say well theyre the standard right now or as far as that goes you know people think of computers they think of IBM a lot of times and the main yeah because see what happens is they have a good backup policy and anybody can fix it and so thats what youre gonna go for  yeah well you know thats thats a thats a big thing and and you know its like for example like Leading Edge have you ever heard of Leading Edge yeah they are out of Korea right leading edge dont they vocalizednoise they they made like uh small personal computers yeah small PCs arent theyre out of Korea right i dont know i i dont know but what they do is what they did i dont know is buy all the parts that IBM would throw away and build an IBM PC with all the parts that IBM would throw away oh yeah yeah because so is it like for example you test a chip it cant last seven years but it can last five IBM says lets throw it away Leading Edge will say well buy it from you and so thats i mean theyre still around i think  yeah ive seen well ive seen them around anyway you know vocalizednoise so thats what thats what they do they buy all all the things that IBM throws away and they vocalizednoise thats why theyre so compatible because i mean and by the time you have a computer for five years youre going to throw it away anyway most people do or they have to anyway you know vocalizednoise well i mean theres like when when you realize vocalizednoise teachers one of my teachers got this computer and which you know its like um voice uh synthesis and stuff  and he got that he said you know its like um i was testing it and it was wonderful and then when you tried to erase and correct you know all the errors in your voice it takes up all your memory and i want more laughteryou laughterknow and its like Jesus Christ you know its like why do you want more because its like one second of recording i mean you put into a Wave and you want to correct the errors in the Wave takes so much i mean its like of course it does i mean by the times it transforms into Wave by Markov model and you put it in there and you want to correct those and then you know youre trying to make the the Wave smooth so you can approximately of course its going to take a lot imagine imagine what it is for us to make Markov models you know its like laughter Jesus Christ thats amazing yeah well when you get yeah when you get right down to it the uh the more they can do for you the more uh like i say the more the more memory theyre gonna require yeah yeah yeah both vocalizednoise both in terms in RAM as well as uh you know standard memory or disk memory disk base well like they say like nobody can get enough you know its like once you have something and its like i was watching this program on TV yesterday in nineteen seventy six NASA came up with Three D graphics right well yeah you find out more and they were showing this like Three D graphics Three D graphics view of like like those hologram deals what no no no no this is like this is like video game stuff okay but the only thing was that it was just lines okay like if you like a hologram  just graphics on a on a ,credit_card,2061
well um with credit cards is me i i try to keep maybe just one or two i dont i dont like having credit cards for every store i i uh i just dont like them laughter laughter what are you afraid of with them what am i afraid of um i dont know if im really afraid of spending too much i just uh dont think that i need them you know i uh they are tempting at times but i i just you know sometimes i just dont like everybody knowing everything about me you know so well thats very can be very very true so and there you know everybody just gives you a credit card just so youll spend money so well thats the idea they figure that if they give you a card at no charge for a whole year that you will use it and thats right see they make money off of it whether you use it or not absolutely well the other thing of course is the fact that they hope you will not pay your bill at the end of the month so that you will be paying interest thats right uhhuh i use mine a great deal um for groceries for everything that i can and then just write one check at the end of the month for the entire thing right thats what i do thats what i do just a second baside Whitney easide baside i will im on the phone honey easide thats all right sounds like you have a little one there oh you have great how old are they i have two little ones yeah yeah so but always want some vocalizednoise um four and two and a half oh boy those are two very active laughterages yes uh yeah im im like you i i use my only use my credit card for um you know when i you know i just use it whenever i feel like i dont want to write a check and then but i dont charge anything that i cant payoff at the end of the month uhhuh well uh do you uh do you ever use the ATM machines no i never do my husband does at work just to get cash out but uh i take the checkbook so i you know i just if i need cash i just tell him and he gets it out and i dont even think i know my number laughter well i find it a great use from the standpoint that you dont have to continue to write checks in order to get cash uhhuh thats right see we he couldnt do without it he but you know since he can just do it right there at work for nothing oh that helps right well the the other thing some people are not aware of is they will use their a their credit card like their Visa or their MasterCard for cash and when they do that they begin paying interest right from that very day on youre right and thats kind of silly yeah right absolutely because they figure that  thats correct laughter the idea is to use their laughtermoney yeah your defeating the purpose and uh during that whole month and then pay it at the end of the month yeah i mean i get i get at least one or two a week people to you know sending me a credit card or calling me on the phone and i just say i dont want it because i right well i think thats the only thing you can do is just say no and mean no and not be tempted yeah its like id like to know where they determine that im such a good credit risk that they can go and say you get this much credit line you know youve already been preapproved well it and oh absolutely preapproved thats their favorite word yes everybody in the country is preapproved i think laughter i think so youre right well its interesting uh that uh people have the generally the same view of credit cards no matter where you go uhhuh yeah and then some people they get so wrapped up in them that they find you know one day they find wow i didnt realize i had this much you know id spent this much money and then they cant meet the minimum monthly payments on it that much spent right well and some people use one credit card to pay for another credit card they own and i mean that does nothing but exacerbate the entire problem yeah it does because youre you know vocalizednoise youre you know youre just costing costing yourself more money because you if you cant make the monthly the minimum payment youre paying interest again so yeah thats right thats right well its been enjoyable talking with you yes its enjoyable talking with seeing that somebody feels the same way so well you you too good luck byebye right well take good care take care of your little ones uhhuh byebye ,credit_card,2067
hi how are you doing uh i couldnt hear you i said how are you doing im doing fine im just uh editing a spreadsheet right now im trying to figure out how i can retire without having to work until im ninety five yeah weve been doing that too  were trying to retire in our fifties yeah this yeah this is a a very appropriate topic for our uh conversation today because what im figuring out is that im going to have to put in a lot more money than what im making good luck on that one then whats that i said good luck on that one then weve got a pretty good situation uh my wife and i since our propertys already paid for you know the main things that i like about the uh the job benefits would be the uh  the availability of the health insurance and the availability of uh you know being able to transfer around inside the organization without having you know when they cut off a system and they dont just can everybody thats working on it like some companies i know of you know they give you an opportunity to transfer into uh an on going project so you work for TI then you cant say yep yes you do well i work for DISD and i dont know what youre talking about when you say um health insurance but Dallas doesnt pay it pays most of mine you know now after you work i think five years they begin to pay most of it but then for the the family you know my i put my kids on my policy its like two hundred dollars and its gone up quite a bit and they predict you know of course its going to keep going up i wish they could go on and pay for all of our coverage at some point and benefits you know id like to see child care paid for or or onsite child child care sometime i think that would be an excellent laughteridea and would make women go to work sometimes if they knew their kids were being taken care of they could go visit them during the day yeah thats uh thats something i hadnt really thought about since we dont have children but i can see how it would be a real benefit those that do well we can shelter also monies that were going to pay in for child care too you know go on and pay a lump sum and as long as you pay that amount youre okay but if you paid in more than you actually used and the same thing for insurance what you predict youre going to be paying for insurance as long as you pay actually pay out that amount of money youre okay but if you pay out less then you lose that money i dont like that part but you dont have to do that option if you dont want to well that can i can see where that might be important and then we got that cafeteria plan do you have that no you can uh i i dont know what youre talking about there well you lets see it shelters it shelters youre money that you pay for insurance it takes it out of your salary before taxes oh okay yeah yeah we got that pre tax insurance but we call it the cafeteria plan i wonder why i said i wonder laughterwhy oh its probably what the first guy who did it called it yeah he was probably in the cafeteria when he thought of laughterit maybe so lets see what else can we do changes ill tell you what we could do we could prohibit people from being hired that are historically going to cost the company money you know do a little bit better research on who gets hired because you know if you mean like for health insurance well not not only just health insurance i mean for the whole benefit of the company see i look at it this way if the company folds i got to go find a job okay now if we get somebody in a position to affect the way the company performs just about anybody in the company and theyre not doing their job or theyre not capable of doing their job then we should find a a place to put them or b you know boot them out well thats easier done in a company than it is in uh school teaching well frankly i think school teachers ought to get about ten times what theyre getting paid thank you  i said thank you oh well were both school teachers im im but its hard to get rid of a teacher if theyre not good i know its almost impossible well theres two schools of thought on that you know i im looking at trying to get into a university job position as a professor i got about eight years of education ahead of me before i can do that once you get that job with the university then youve got ten years of probation then you have tenure and they cant fire you well you know in a situation like that i dont know if thats good or bad i do know that ive had tenured professors that were just sorry and ive also had tenure professors that were the best things on two legs well they did away with tenure in teaching a long time ago you know for in the public schools but in addition it made you ease more at ease you know you knew you werent going to lose your laughterjob unless you really did something horrendous well they they really cant fire you without cause anymore i mean you know the governments taken care of that but uh what im looking at is you know there are a lot of teachers out there that arent getting paid what they need to be getting paid and there are some teachers out there that arent worth having around as janitors  right you know and i could see a point protecting someones position but on the other hand i dont think it you know that someone that teaches uh say shop for instance should have to have a a degree at all well they dont in some places they dont in some places they dont but you know you youve got specialized education now do they for instance take computer science you know weve got kids twenty years old right now that could beat any computer professor at microcomputer applications i know we do and these people cant even get jobs doing anything vocalizednoise besides digging ditches because theres no comprehensive test that they can take that would allow them to step to step into that position without having to go through the rigamarole of college you know you know i went to college late on in life and i realize that hey you know its nothing but four years of endurance and you might be teachable you know what i laughtermean yeah laughter i mean my agree is absolutely worthless its my experience and and my knowledge that that is beneficial but then you know i like i said i came at it backwards what did you get your degree in Industrial Marketing and whats your job now well actually im selling computer software but the two are mutually exclusive because the its experience that got me the job that i got now was my experience in the construction field prior to going to college not my degree which is i think kind of bizzaro all right what else could we change  oh id like to see flexible hours and teaching you know shared job sharing well lets more of that weve already weve already got that well see weve got a little bit of it but not much and itd be nice if your you had full insurance coverage if you were doing job sharing what else id like to be able to to evaluate your boss and it really carry some weight and you get to choose your boss well yeah supervisor evaluations always been a tough one especially in my line because you know my supervisor has got really absolutely nothing to do with my job except make sure i get my check well so you get to evaluate him though why not well not really you know i mean it theres what whats to evaluevaluate evaluate him on you know i mean uh my my supervisory level is like practically zero i run the whole show and when i need something i tell my boss and he gets it for me because he knows that i know what im doing you know and uh that that is something that i think needs to be expanded on specially in the in the large market place you know the major corporation because so often you know you get a guy whos got eight or nine or ten people working for him in separate areas so to speak you know its its hard for me to you you know especially since im in marketing sales you know i make more than my boss  because hes salary and im not i make as much as i earn you know if i dont make a sale i dont make anything yeah well its a little tough but uh you know there are you know requirements and and quotas and what not for me to make but uh bottom line on on that kind of thing is you know we have a lot of people especially in major corporations who arent doing a damn thing theyre just there you know the work they do could be totally eliminated and not that they arent working not that they arent trying or anything its just that their jobs are useless you know take for instance um a large construction company i used to work for Ed Swampers Swampers a guy whos in the union hes a laborer and hes assigned to ,job_benefits,2085
well the thing is is that uh since im in school i dont like basically have a monthly budget because im living off my dad but the thing is is that um i have to keep it under control because for example you know its like vocalizednoise the the beginning of the semester when you go have to pay for everything everythings pretty rough but he controls that part but then whenever you know its like once the semester start im the one who has to control how much spending there is and the only thing that i basically spend my money on is just food and uh so what about tuition and rent who takes care of that well the thing is is that i live in a dorm so uh what happens is you pay six hundred dollars at the beginning or even before school starts and the the tuition is also the same thing so the thing is is basically that i spend like maybe thirty five forty dollars every two weeks on on groceries and thats about it but the thing uh also is that you know like if you want to go out like if you want to go to a restaurant or something then i have to moderate that because its like i cant go eat out at a nice restaurant and spend twenty dollars uh you know three times a week no cant do that very often so i mean its for for us you know its like i i can spend i can spend that money but its not its not what i want to spend it on you know are are are you working anywhere while youre going to school no because um they dont allow me to work since uh im a foreign student oh okay and so they the government doesnt allow me to work yeah so all the money comes from home so you got to make uh so how do you keep track of where you are in in your monthly spending well the thing is is that um i basically i basically know how much i have right and so the thing is is that i i can tell like uh i get all my money out of the teller and besides see one one of my biggest expenses is telephone calls since i have to call you know international where do you call to Argentina yeah Argentina wow and so the basic one of the problems is that i spend too much money on phone bills yeah talk too long well thats they want they want me to call down there every so often i mean i told my dad listen dad listen if you want to save money i wont call so often you know he goes we want to keep in touch so it doesnt matter about the money because we need to hear from you yeah so you call him collect no because its more expensive that way uh any any uh basically the United States is the cheapest country to call out of i would suspect so and uh because its considered luxury in other countries oh okay so you just call him direct and then right since its his money anyway you know yeah so that and he gets the and you get the bill and send it to him no uh i got money to pay that too so its basically you know its like its not too much money and its not too little money so i wont have to you know rush a letter to him or something because uh he really wants me to concentrate on my studies yeah what are you studying what are you studying im doing masters in computer science and computer engineering and what do you think youll do with that with those degrees well i can i can work up uh here up to a year and i mean and hopefully get a job after that you want to get into some kind of manufacturing or or whats the specialty that youre looking for uh computer communications and data transmissions oh okay so you want to find a uh data transmissions youre looking for uh long distance type stuff yeah you know anywhere from uh local area networks metropolitan area networks you know all that and and so well you have a family right yeah i have uh wife and two children and uh and and does does your wife work no she doesnt work she does uh well its kind of hard to say now days uh other than taking care of the house she does a lot of sewing herself and she gets paid for that so she brings some money in oh okay shes trying to start her her own business where she does that full time uh alterations and sewing and stuff for the public and uh do that on a on a full time basis here in town and so and you have a monthly budget well sort sort of were probably like most American laughterAmerican laughterfamilies i guess that we sort of have a budget in that we know how much weve got at the end of the month and we know what bills have to be paid and uh we pay as many of those bills that can be paid with with the monthly budget so so you dont have any problem in uh overcharging on your credit card and stuff like that oh sure were like everybody else you know you weve got a uh several credit cards that sometimes uh instead of paying them all off at every month maybe you have to slip some and you pay part of it this month and part of it next month especially around Christmas time you know thats when everybody goes crazy on charging stuff yeah yeah well then uh see uh thats thats one of the points which i dont see like i i dont give a lot of gifts during Christmas and i you know i dont want i dont like to give any at all because the thing is is that you know its like if i want something ill ill ask somebody you know like like my uh for Christmas for Christmas you know my roommate goes what do you want and i said i want a backpack you know uh no i told him you if you want to give me a present for Christmas give me a backpack yeah but something that you can use right because i i needed a backpack so he gave me a backpack and i i knew he needed an alarm clock so i bought him an alarm clock so the thing was that that thats very uh utilitarian you know right but you make those things there are no no frivolous gifts right but uh thing is especially i mean when i was down Argentina it was to me was ridiculous because you know you have to once a year you go out and you spend all this money on all these people and some you dont care about you know its like thats true why bother yeah yeah and so but the thing is is that um well especially being a college student you your i dont know that you need to be involved in a lot of frivolous gift giving you know that effects the budget especially around uh Christmas time its the end of the semester youve got finals and youve got lots of bills i would suspect yeah yeah what about when you have breaks like uh Christmas or between sessions well for example we had spring break now and i went skiing and i spent around like maybe two hundred dollars or i expect so so uh but you know its like uh youve got to budget that though youve got to save up in able to do that right yeah yeah because its like you know say you know its like were saying lets go eat out before spring break i go lets not go eat out before spring break lets see how much money we have afterwards i mean hm laughterhm laughteryeah right right and if i felt like i spent way too much then uh i wont go out you know and so like my roommate went home i went skiing in uh over the Carolina Mountains which arent anything but um but it was you know it was i guess it was worth it you know it was a nice place sure it is any time you can get away and and get away from from the daily grind yeah yeah yeah especially if you live on campus and you dont have a car you just go crazy yeah i know the feeling so oh well lets see how long have we been talking here six minutes and a half okay yeah is that okay all right all right well nice talking to you all right byebye nice talking to you have a good time bye ,family_finance,2092
